City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Bokoro,TD,12.3807,17.0568,85.05,52,100,12.77,overcast clouds
179,Vila Velha,BR,-20.3297,-40.2925,80.55,83,40,8.05,scattered clouds
180,Mandal,IN,25.45,74.5667,89.29,28,0,10.29,clear sky
181,Sao Filipe,CV,14.8961,-24.4956,71.73,80,7,3.22,clear sky
182,Nuevo Progreso,MX,23.1667,-97.95,80.47,70,9,1.01,clear sky
183,Nanakuli,US,21.3906,-158.1547,84.15,56,75,12.66,broken clouds
184,Tsiroanomandidy,MG,-18.7667,46.0333,63.21,79,40,2.13,scattered clouds
185,Chokurdakh,RU,70.6333,147.9167,24.1,82,100,6.13,overcast clouds
186,Biloela,AU,-24.4167,150.5,84.7,39,0,1.92,clear sky
187,Lasa,IT,46.6166,10.7002,49.08,91,69,1.14,broken clouds
188,Acapulco,MX,16.8634,-99.8901,80.42,78,100,9.22,overcast clouds
189,Pueblo Nuevo,MX,23.3833,-105.3833,54.16,52,35,3.58,scattered clouds
190,Moerai,PF,-22.4333,-151.3333,79.3,83,100,15.14,light rain
191,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,87,87,8.41,overcast clouds
192,Aguimes,ES,27.9054,-15.4461,61.43,59,40,13.8,scattered clouds
193,Jacareacanga,BR,-6.2222,-57.7528,73.53,98,99,1.34,overcast clouds
194,Maldonado,UY,-34.6667,-54.9167,55.22,90,4,4.81,clear sky
195,Qaqortoq,GL,60.7167,-46.0333,31.87,76,100,5.06,overcast clouds
196,Xingyi,CN,24.1877,102.817,56.05,89,100,1.72,overcast clouds
197,Orumiyeh,IR,37.5527,45.0761,49.55,87,0,6.91,clear sky
198,Kavieng,PG,-2.5744,150.7967,84.87,74,99,13.18,light rain
199,Kruisfontein,ZA,-34.0033,24.7314,58.89,88,70,4.16,broken clouds
200,Parrita,CR,9.5201,-84.3225,76.51,94,100,3.18,overcast clouds
201,Luan,CH,46.3592,6.9759,46.36,92,100,2.82,overcast clouds
202,Road Town,VG,18.4167,-64.6167,78.89,83,40,10.36,scattered clouds
203,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.72,87,40,7.9,scattered clouds
204,Dossor,KZ,47.5272,52.9811,57.65,45,0,6.64,clear sky
205,Pisco,PE,-13.7,-76.2167,64.02,88,0,12.66,clear sky
206,Jacmel,HT,18.2342,-72.5347,80.44,85,59,2.24,broken clouds
207,Takapau,NZ,-40.0333,176.35,63.73,64,7,5.88,clear sky
208,Esperance,AU,-33.8667,121.9,60.64,57,89,12.41,overcast clouds
209,Faya,SA,18.3851,42.4509,62.71,59,5,1.97,clear sky
210,Cidreira,BR,-30.1811,-50.2056,66.11,72,100,11.68,overcast clouds
211,Los Zacatones,MX,22.95,-102.05,74.03,19,97,18.9,overcast clouds
212,Zaros,GR,35.1316,24.9046,56.97,79,0,5.5,clear sky
213,Erenhot,CN,43.6475,111.9767,61.86,35,100,22.64,moderate rain
214,Mikhaylovka,RU,50.06,43.2379,47.79,87,95,13.65,overcast clouds
215,Valdosta,US,30.8327,-83.2785,75.15,79,0,0.0,clear sky
216,Bambanglipuro,ID,-7.95,110.2833,83.7,73,97,5.5,overcast clouds
217,Fort Abbas,PK,29.1925,72.8536,91.09,31,0,3.8,clear sky
218,Cabo San Lucas,MX,22.8909,-109.9124,76.3,68,0,11.5,clear sky
219,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,40,11.01,scattered clouds
220,Chalus,IR,36.655,51.4204,60.26,94,100,0.0,overcast clouds
221,Iqaluit,CA,63.7506,-68.5145,8.33,78,20,20.71,few clouds
222,Chara,RU,56.9064,118.2631,34.38,42,98,1.43,light snow
223,Fontem,CM,5.4685,9.8818,66.56,88,99,3.49,overcast clouds
224,Karpathos,GR,35.507,27.2132,60.76,72,0,26.46,clear sky
225,Samarinda,ID,-0.5,117.15,89.71,53,25,4.23,scattered clouds
226,Kavaratti,IN,10.5669,72.642,85.06,74,100,14.03,overcast clouds
227,Katsuura,JP,35.1333,140.3,68.95,70,100,13.87,overcast clouds
228,Huarmey,PE,-10.0681,-78.1522,66.33,85,76,5.82,broken clouds
229,Bukama,CD,-9.2,25.85,66.04,86,12,1.97,few clouds
230,Porto Novo,BJ,6.4965,2.6036,75.02,90,100,3.74,overcast clouds
231,Boda,CF,4.3189,17.4695,70.61,89,43,0.58,light rain
232,Strezhevoy,RU,60.7333,77.5889,51.42,52,97,15.05,overcast clouds
233,Nizhniy Kuranakh,RU,58.8353,125.4869,37.51,76,100,11.52,light rain
234,Carnarvon,AU,-24.8667,113.6333,82.47,30,40,18.41,scattered clouds
235,Itoman,JP,26.1247,127.6694,75.58,96,75,13.8,broken clouds
236,Adrar,MR,20.5022,-10.0711,75.16,20,6,8.34,clear sky
237,Alappuzha,IN,9.49,76.3264,79.9,84,100,11.14,overcast clouds
238,Egvekinot,RU,66.3167,-179.1667,24.44,74,58,3.15,broken clouds
239,Ponta Delgada,PT,37.7333,-25.6667,63.32,77,75,10.36,broken clouds
240,Funadhoo,MV,6.15,73.2667,84.85,73,100,14.94,overcast clouds
241,Cabrobo,BR,-8.5142,-39.31,74.61,76,100,11.74,overcast clouds
242,Avanigadda,IN,16.0215,80.9181,91.17,52,54,9.24,broken clouds
243,Panguipulli,CL,-39.6333,-72.3333,50.54,99,82,1.39,broken clouds
244,Clyde River,CA,70.4692,-68.5914,23.23,74,100,9.22,overcast clouds
245,Fukue,JP,32.6881,128.8419,70.16,73,20,10.36,few clouds
246,Ranong,TH,9.9658,98.6348,82.33,86,96,4.56,overcast clouds
247,Bandar-E Lengeh,IR,26.5579,54.8807,75.31,94,0,4.61,mist
248,Balabag,PH,11.97,121.9192,83.8,74,20,18.16,few clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,75,11.5,broken clouds
250,Saint-Francois,FR,46.4154,3.9054,49.68,93,99,2.3,overcast clouds
